,T1_CPU,T1_Time,T2_CPU,T2_Time
165,276,1.8037781715393066,517,1.8281691074371338
166,102,1.8054261207580566,200,1.8304026126861572
167,77,1.8030774593353271,401,1.8231885433197021
168,171,1.8103768825531006,442,1.830451250076294
169,82,1.804215669631958,221,1.8283798694610596
170,237,1.8089323043823242,344,1.8290987014770508
171,196,1.8080153465270996,374,1.8325371742248535
172,2,1.8007879257202148,16,1.8216514587402344
173,72,1.8049952983856201,166,1.8249430656433105
174,102,1.8090009689331055,209,1.8289539813995361
175,223,1.8059988021850586,383,1.825958013534546
176,241,1.8072731494903564,646,1.8282432556152344
177,30,1.7935969829559326,34,1.8137507438659668
178,169,1.8040261268615723,205,1.824023723602295
179,153,1.8055717945098877,223,1.8303313255310059
180,151,1.8114464282989502,506,1.8356335163116455
181,297,1.800872564315796,307,1.8206706047058105
182,94,1.8052124977111816,227,1.829801082611084
183,130,1.8110415935516357,323,1.836125135421753
184,38,1.8041441440582275,183,1.8241286277770996
185,10,1.7982263565063477,251,1.8281421661376953
186,406,1.811607837677002,517,1.8320529460906982
187,107,1.8093476295471191,303,1.8341946601867676
188,97,1.8051517009735107,160,1.8254692554473877
189,30,1.8068866729736328,379,1.831038475036621
190,244,1.8082613945007324,725,1.832237720489502
191,18,1.7941019535064697,60,1.8241045475006104
192,52,1.8040390014648438,145,1.824486255645752
193,111,1.803248405456543,179,1.827763319015503
194,135,1.8097858428955078,481,1.829862356185913
195,382,1.8031971454620361,447,1.8281724452972412
196,19,1.8044190406799316,158,1.8294451236724854
197,236,1.8033576011657715,420,1.823357343673706
198,117,1.8064656257629395,178,1.8311047554016113
199,296,1.8008637428283691,461,1.8208932876586914
200,29,1.7973277568817139,489,1.8276104927062988
201,1,1.803333044052124,4,1.8196494579315186
202,128,1.8024327754974365,397,1.8324799537658691
203,91,1.80584716796875,232,1.8304061889648438
204,17,1.804905652999878,255,1.8283848762512207
205,146,1.8070216178894043,241,1.831543207168579
206,90,1.805032730102539,158,1.8249719142913818
207,222,1.8042538166046143,223,1.824760913848877
208,296,1.8072702884674072,479,1.827242374420166
209,29,1.804128646850586,356,1.8277561664581299
210,185,1.797182559967041,186,1.8274471759796143
211,40,1.8071506023406982,327,1.831125259399414
212,122,1.8072857856750488,255,1.8272583484649658
213,368,1.8076448440551758,590,1.8279032707214355
214,53,1.7970643043518066,190,1.8271105289459229
215,139,1.8110475540161133,608,1.8315703868865967
216,35,1.8042428493499756,340,1.8286116123199463
217,84,1.8008992671966553,116,1.820899248123169
218,312,1.8086051940917969,684,1.829333782196045
219,75,1.8047764301300049,290,1.8300707340240479
220,43,1.8045086860656738,103,1.824721097946167
221,4,1.800920009613037,261,1.8248662948608398
222,429,1.803701400756836,500,1.8290910720825195
223,11,1.8036534786224365,88,1.8245842456817627
224,139,1.8048665523529053,224,1.829376220703125
225,102,1.8042902946472168,182,1.8292162418365479
226,269,1.8047616481781006,316,1.828775405883789
227,25,1.8045430183410645,148,1.8294248580932617
228,56,1.8042731285095215,148,1.8246660232543945
229,90,1.803980827331543,510,1.8288726806640625
